"customer_segment","customer_count","pct","avg_recency","avg_frequency","avg_monetary","total_revenue"
"Champions","32654","17.79","80.5","4.4","626.06","20443350.18"
"Loyal Customers","31584","17.21","243.5","4.1","462.65","14612279.14"
"At Risk","25136","13.7","577.1","2.6","303.29","7623377.64"
"Lost","40396","22.01","583.5","1.3","157.61","6366998.48"
"Need Attention","17688","9.64","256.2","2.1","248.64","4397897.17"
"Promising","13362","7.28","67.4","2","241.44","3226165.59"
"Potential Loyalist","12281","6.69","131.5","2.9","172.29","2115866.66"
"New Customers","7641","4.16","89.7","1","118.24","903434.4"
"Others","2799","1.53","231.4","1","116.84","327047.51"
